gift_id,contact_id,gift_date,amount,gift_type,campaign
1,003XX00000BRNtp3Fa,2024-01-28,20.0,event,Year-End Appeal 2024
2,003XX00000BRNtp3Fa,2025-01-13,20.0,recurring,Planned Giving Society
3,003XX00000BRNtp3Fa,2025-01-13,20.0,event,
4,003XX00000dwyLGaac,2020-01-17,35,one_time,Spring Gala 2023
5,003XX000008jhuDkf0,2019-07-11,20.0,one_time,Year-End Appeal 2021
6,003XX000008jhuDkf0,2019-10-15,20.0,one_time,Year-End Appeal 2022
7,003XX000008jhuDkf0,2020-09-03,20.0,recurring,Year-End Appeal 2022
8,003XX000008jhuDkf0,2020-09-03,20.0,recurring,
9,003XX000008jhuDkf0,2020-09-03,20.0,one_time,Spring Gala 2022
10,003XX00000GatTlfXj,2023-05-12,20.0,one_time,Year-End Appeal 2021
11,003XX00000GatTlfXj,2023-05-12,20.0,recurring,Major Gift Initiative 2022
12,003XX00000GatTlfXj,2023-05-12,20.0,one_time,Planned Giving Society
13,003XX00000uhlNNbBU,2020-06-22,20.0,one_time,
14,003XX00000uhlNNbBU,2021-06-10,20.0,recurring,Annual Fund 2023
15,003XX00000uhlNNbBU,2022-11-07,20.0,one_time,Annual Fund 2021
16,003XX00000uhlNNbBU,2023-01-07,20.0,one_time,
17,003XX00000RbujpUeU,2024-09-11,20.0,one_time,Annual Fund 2023
18,003XX00000RbujpUeU,2025-07-09,20.0,one_time,Year-End Appeal 2021
19,003XX00000RbujpUeU,2025-09-12,20.0,one_time,Year-End Appeal 2021
20,003XX00000RbujpUeU,2026-02-22,20.0,event,Annual Fund 2022
21,003XX00000SWSrHCDS,2016-04-23,20.0,one_time,
22,003XX00000SWSrHCDS,2016-04-23,20.0,one_time,Annual Fund 2020
23,003XX00000SWSrHCDS,2016-04-23,20.0,one_time,Spring Appeal 2022
24,003XX00000SWSrHCDS,2016-04-23,20.0,one_time,Spring Appeal 2022
25,003XX00000JKEAbkSO,2006-08-31,20.0,event,Spring Appeal 2024
26,003XX00000JKEAbkSO,2007-08-25,40,planned_giving,Spring Gala 2022
27,003XX00000h8WYLH0c,2020-11-08,100,one_time,
28,003XX00000h8WYLH0c,2020-11-09,50,recurring,
29,003XX00000h8WYLH0c,2020-12-10,150,recurring,Annual Fund 2021
30,003XX00000h8WYLH0c,2021-08-22,150,recurring,Major Gift Initiative 2022
31,003XX00000h8WYLH0c,2021-08-22,150,one_time,Annual Fund 2023
32,003XX00000ikiUHVpu,2021-02-07,150,one_time,Planned Giving Society
33,003XX00000ikiUHVpu,2021-11-26,150,one_time,
34,003XX00000aZnRZ7K6,2021-10-14,20.0,recurring,Spring Appeal 2023
35,003XX00000aZnRZ7K6,2022-07-03,20.0,one_time,Planned Giving Society
36,003XX00000aZnRZ7K6,2022-07-03,20.0,one_time,Spring Gala 2022
37,003XX00000Lqm3sCWs,2018-11-23,30,recurring,Annual Fund 2020
38,003XX00000Lqm3sCWs,2020-12-20,40,one_time,Annual Fund 2022
39,003XX00000Lqm3sCWs,2021-10-22,20.0,event,
40,003XX00000Lqm3sCWs,2023-09-06,20.0,event,Annual Fund 2022
41,003XX00000NTGsUJC4,2008-11-08,30,recurring,Annual Fund 2021
