interaction_id,contact_id,interaction_date,interaction_type,details
1,003XX00000BRNtp3Fa,2022-03-15,meeting,Introductory meeting with development director
2,003XX00000BRNtp3Fa,2022-10-07,event_attended,Spring Gala 2023
3,003XX00000BRNtp3Fa,2021-12-12,email_click,Clicked donate button
4,003XX00000RnWWMQ6o,2023-03-24,email_open,Annual Fund thank-you
5,003XX00000mxaDX9g8,2025-09-27,email_open,Spring fundraising newsletter
6,003XX00000mxaDX9g8,2020-03-11,event_attended,Spring Gala 2022
7,003XX00000mxaDX9g8,2022-03-18,phone_call,Left voicemail
8,003XX00000mxaDX9g8,2020-10-27,phone_call,
9,003XX00000mxaDX9g8,2023-10-07,email_click,
10,003XX00000mxaDX9g8,2023-11-23,phone_call,Follow-up on lapsed donor reengagement
11,003XX00000mxaDX9g8,2023-03-14,phone_call,Outreach about Planned Giving Society
12,003XX00000mxaDX9g8,2021-11-08,event_attended,Book Launch event
13,003XX00000mxaDX9g8,2020-03-10,email_click,Clicked donate button
14,003XX00000mxaDX9g8,2024-10-01,phone_call,Thank-you call after Year-End gift
15,003XX00000OOjEty8h,2024-02-17,meeting,Phone meeting rescheduled
16,003XX00000OOjEty8h,2021-08-01,phone_call,Left voicemail
17,003XX00000OOjEty8h,2024-09-23,event_attended,Spring Gala 2022
18,003XX00000dwyLGaac,2024-12-19,event_attended,Spring Gala 2022
19,003XX00000dwyLGaac,2020-11-30,phone_call,Follow-up on lapsed donor reengagement
20,003XX00000dwyLGaac,2023-06-22,mail_sent,Hedgehog Review print copy
21,003XX00000dwyLGaac,2023-01-04,email_click,Clicked journal article link
22,003XX00000dwyLGaac,2024-01-21,mail_sent,Annual Fund appeal letter
23,003XX00000dwyLGaac,2024-07-21,phone_call,
24,003XX00000dwyLGaac,2021-11-05,event_attended,Virtual Symposium on Culture & Democracy
25,003XX00000dwyLGaac,2025-01-09,email_open,Annual Fund thank-you
26,003XX00000dwyLGaac,2023-04-18,email_open,Annual event invitation
27,003XX00000dwyLGaac,2022-01-29,email_open,Spring fundraising newsletter
28,003XX000008jhuDkf0,2025-02-11,mail_sent,Annual Fund appeal letter
29,003XX000008jhuDkf0,2022-07-01,mail_sent,Hedgehog Review print copy
30,003XX000008jhuDkf0,2020-01-14,meeting,Stewardship call – discussed giving impact
31,003XX000008jhuDkf0,2025-05-28,event_attended,Spring Gala 2022
32,003XX00000pVi28u5O,2023-05-10,event_attended,Spring Gala 2023
33,003XX00000pVi28u5O,2023-12-18,email_click,Clicked event registration link
34,003XX00000pVi28u5O,2024-12-17,meeting,Major gift conversation – preliminary
35,003XX00000pVi28u5O,2024-02-19,event_attended,Book Launch event
36,003XX00000pVi28u5O,2020-11-21,email_open,Spring fundraising newsletter
37,003XX00000pVi28u5O,2025-05-14,email_open,Annual event invitation
38,003XX00000GatTlfXj,2025-12-25,meeting,Stewardship call – discussed giving impact
39,003XX00000GatTlfXj,2021-10-16,email_open,
40,003XX00000GatTlfXj,2026-02-14,event_attended,Spring Gala 2023
41,003XX00000GatTlfXj,2025-01-21,mail_sent,Planned giving brochure
42,003XX00000GatTlfXj,2024-07-07,email_open,
43,003XX00000GatTlfXj,2020-05-01,meeting,Introductory meeting with development director
44,003XX00000GatTlfXj,2024-08-01,email_open,Journal issue announcement
45,003XX00000GatTlfXj,2025-12-07,meeting,Stewardship call – discussed giving impact
46,003XX00000GatTlfXj,2020-08-14,email_open,Year-End Appeal 2023
47,003XX00000GatTlfXj,2021-08-17,phone_call,Left voicemail
48,003XX00000GatTlfXj,2025-04-02,event_attended,Spring Gala 2022
49,003XX00000bu0RweOb,2021-09-05,mail_sent,Annual Fund appeal letter
50,003XX00000bu0RweOb,2020-02-29,event_attended,Virtual Symposium on Culture & Democracy
51,003XX00000uhlNNbBU,2021-12-24,email_open,Journal issue announcement
52,003XX00000uhlNNbBU,2023-06-17,event_attended,Spring Gala 2023
53,003XX00000uhlNNbBU,2020-06-22,email_click,Clicked donate button
54,003XX00000uhlNNbBU,2025-07-30,mail_sent,Stewardship impact report
55,003XX00000uhlNNbBU,2022-10-16,mail_sent,Holiday card
56,003XX00000uhlNNbBU,2021-03-01,event_attended,Homecoming Reception 2023
57,003XX00000RbujpUeU,2022-05-01,phone_call,Left voicemail
58,003XX00000RbujpUeU,2026-01-16,phone_call,Thank-you call after Year-End gift
59,003XX00000SWSrHCDS,2024-05-12,phone_call,Follow-up on lapsed donor reengagement
60,003XX00000SWSrHCDS,2020-10-25,email_open,Annual Fund thank-you
61,003XX00000SWSrHCDS,2022-12-13,event_attended,Virtual Symposium on Culture & Democracy
62,003XX00000SWSrHCDS,2021-11-09,meeting,Phone meeting rescheduled
63,003XX00000SWSrHCDS,2021-01-24,email_open,Annual event invitation
64,003XX00000SWSrHCDS,2022-09-22,event_attended,Homecoming Reception 2023
65,003XX00000JKEAbkSO,2022-02-25,email_click,Clicked event registration link
66,003XX00000JKEAbkSO,2022-12-18,event_attended,Book Launch event
67,003XX00000JKEAbkSO,2025-06-20,event_attended,Spring Gala 2023
68,003XX00000JKEAbkSO,2025-11-06,meeting,Introductory meeting with development director
69,003XX00000JKEAbkSO,2025-04-29,mail_sent,Planned giving brochure
70,003XX00000jvKgbR9b,2022-03-05,email_click,Clicked journal article link
71,003XX00000R6yicTU8,2023-05-31,phone_call,Thank-you call after Year-End gift
72,003XX00000R6yicTU8,2024-12-22,email_open,Year-End Appeal 2023
73,003XX00000R6yicTU8,2020-07-23,email_open,Year-End Appeal 2023
74,003XX00000R6yicTU8,2021-01-23,mail_sent,Annual Fund appeal letter
75,003XX00000R6yicTU8,2024-11-07,email_click,
76,003XX00000R6yicTU8,2020-03-20,email_click,Clicked event registration link
77,003XX00000LluIEv0V,2024-08-10,mail_sent,Planned giving brochure
78,003XX00000XTsv2CEn,2025-06-03,meeting,Major gift conversation – preliminary
79,003XX00000XTsv2CEn,2020-02-25,mail_sent,Planned giving brochure
80,003XX00000XTsv2CEn,2023-01-20,phone_call,Left voicemail
81,003XX00000XTsv2CEn,2020-09-19,mail_sent,Planned giving brochure
82,003XX00000XTsv2CEn,2025-04-20,meeting,Cultivation lunch
83,003XX00000S7qcS90G,2025-07-30,event_attended,Spring Gala 2022
84,003XX00000S7qcS90G,2024-05-25,event_attended,Spring Gala 2023
85,003XX00000S7qcS90G,2025-03-22,email_click,Clicked event registration link
86,003XX00000PzdyuVH7,2022-05-06,email_click,Clicked journal article link
87,003XX00000PzdyuVH7,2024-07-31,mail_sent,Annual Fund appeal letter
88,003XX00000PzdyuVH7,2022-01-22,email_open,
89,003XX00000h8WYLH0c,2022-09-28,phone_call,Thank-you call after Year-End gift
90,003XX00000h8WYLH0c,2023-06-15,email_open,
91,003XX00000h8WYLH0c,2023-08-21,mail_sent,Stewardship impact report
92,003XX00000h8WYLH0c,2020-03-03,meeting,Stewardship call – discussed giving impact
93,003XX00000h8WYLH0c,2022-01-31,mail_sent,Holiday card
94,003XX00000h8WYLH0c,2020-07-31,email_open,Annual Fund thank-you
95,003XX00000h8WYLH0c,2020-04-13,email_open,Annual Fund thank-you
96,003XX00000h8WYLH0c,2025-12-17,mail_sent,Hedgehog Review print copy
97,003XX00000h8WYLH0c,2021-02-06,email_click,Clicked donate button
98,003XX00000h8WYLH0c,2021-04-28,phone_call,
99,003XX00000h8WYLH0c,2024-05-13,phone_call,Thank-you call after Year-End gift
100,003XX00000h8WYLH0c,2021-01-12,email_click,Clicked event registration link
101,003XX00000h8WYLH0c,2020-03-24,email_open,Year-End Appeal 2023
102,003XX00000h8WYLH0c,2023-10-25,phone_call,Left voicemail
103,003XX00000h8WYLH0c,2021-01-15,event_attended,Book Launch event
104,003XX00000h8WYLH0c,2020-10-26,event_attended,Virtual Symposium on Culture & Democracy
105,003XX00000h8WYLH0c,2024-05-07,email_open,Journal issue announcement
106,003XX00000SnB90aGs,2024-04-12,email_click,Clicked event registration link
107,003XX00000SnB90aGs,2022-06-29,event_attended,Spring Gala 2022
108,003XX00000SnB90aGs,2022-10-16,event_attended,Homecoming Reception 2023
109,003XX00000SnB90aGs,2021-03-09,email_click,Clicked donate button
110,003XX00000SnB90aGs,2023-05-04,phone_call,Outreach about Planned Giving Society
111,003XX00000ikiUHVpu,2020-08-13,email_click,Clicked donate button
112,003XX00000ikiUHVpu,2020-09-10,mail_sent,Hedgehog Review print copy
113,003XX00000ikiUHVpu,2022-04-13,meeting,Introductory meeting with development director
114,003XX00000swjFDJmp,2020-07-24,meeting,Cultivation lunch
115,003XX00000swjFDJmp,2024-04-01,phone_call,Thank-you call after Year-End gift
116,003XX00000swjFDJmp,2023-05-01,phone_call,Left voicemail
117,003XX00000swjFDJmp,2024-12-10,email_click,
118,003XX00000swjFDJmp,2021-11-01,mail_sent,Annual Fund appeal letter
119,003XX00000aZnRZ7K6,2021-11-03,phone_call,Outreach about Planned Giving Society
120,003XX00000aZnRZ7K6,2022-11-08,email_click,Clicked donate button
121,003XX00000aZnRZ7K6,2020-11-03,phone_call,Follow-up on lapsed donor reengagement
122,003XX00000aZnRZ7K6,2023-12-11,email_click,Clicked donate button
123,003XX00000aZnRZ7K6,2025-05-09,meeting,Major gift conversation – preliminary
124,003XX00000aZnRZ7K6,2023-01-26,event_attended,Book Launch event
125,003XX00000aZnRZ7K6,2022-02-19,meeting,Stewardship call – discussed giving impact
126,003XX00000nxkVEcCW,2023-04-03,email_open,Annual Fund thank-you
127,003XX00000nxkVEcCW,2025-10-28,email_open,Year-End Appeal 2023
128,003XX00000nxkVEcCW,2020-09-19,event_attended,Book Launch event
129,003XX00000nxkVEcCW,2026-02-07,mail_sent,Stewardship impact report
130,003XX00000nxkVEcCW,2020-02-29,mail_sent,Holiday card
131,003XX00000nxkVEcCW,2022-10-10,event_attended,Book Launch event
132,003XX00000Rso42UkI,2020-06-15,event_attended,Book Launch event
133,003XX00000Rso42UkI,2022-06-05,email_open,Year-End Appeal 2023
134,003XX00000Rso42UkI,2020-07-15,mail_sent,Annual Fund appeal letter
135,003XX00000Lqm3sCWs,2022-01-31,email_click,Clicked donate button
136,003XX00000Lqm3sCWs,2022-03-13,mail_sent,Annual Fund appeal letter
137,003XX00000Lqm3sCWs,2022-08-05,email_open,Year-End Appeal 2023
138,003XX00000Lqm3sCWs,2023-10-03,phone_call,Follow-up on lapsed donor reengagement
139,003XX00000Lqm3sCWs,2020-05-10,mail_sent,Holiday card
140,003XX00000Lqm3sCWs,2025-08-26,mail_sent,Annual Fund appeal letter
141,003XX00000Lqm3sCWs,2022-11-19,phone_call,Left voicemail
142,003XX00000NTGsUJC4,2023-11-04,event_attended,Book Launch event
143,003XX00000NTGsUJC4,2020-08-31,mail_sent,Holiday card
144,003XX00000NTGsUJC4,2021-02-20,phone_call,Left voicemail
145,003XX00000NTGsUJC4,2021-06-01,meeting,Major gift conversation – preliminary
146,003XX00000NTGsUJC4,2022-06-08,email_open,Annual Fund thank-you
147,003XX00000NTGsUJC4,2021-03-13,mail_sent,Hedgehog Review print copy
148,003XX00000NTGsUJC4,2020-11-04,mail_sent,Stewardship impact report
149,003XX00000n8PBwVtm,2021-10-23,phone_call,Outreach about Planned Giving Society
150,003XX00000n8PBwVtm,2024-04-25,event_attended,Virtual Symposium on Culture & Democracy
151,003XX00000n8PBwVtm,2025-02-17,email_click,
152,003XX00000n8PBwVtm,2022-04-26,email_open,Journal issue announcement
153,003XX000008ee5gxtE,2021-05-17,email_click,Clicked journal article link
154,003XX00000jgYoPHte,2023-05-02,mail_sent,Stewardship impact report
155,003XX00000jgYoPHte,2026-02-19,phone_call,Outreach about Planned Giving Society
156,003XX00000jgYoPHte,2024-03-21,email_open,
157,003XX00000jgYoPHte,2025-03-05,meeting,Stewardship call – discussed giving impact
158,003XX00000jgYoPHte,2025-07-12,event_attended,Spring Gala 2023
159,003XX00000gvzE8nbq,2021-12-13,meeting,Phone meeting rescheduled
160,003XX00000gvzE8nbq,2022-04-03,meeting,Stewardship call – discussed giving impact
161,003XX00000gvzE8nbq,2022-01-10,meeting,Phone meeting rescheduled
162,003XX00000vZnemR7d,2024-02-22,email_open,
163,003XX00000vZnemR7d,2023-02-04,meeting,Cultivation lunch
164,003XX00000vZnemR7d,2024-01-04,phone_call,Thank-you call after Year-End gift
165,003XX00000vZnemR7d,2020-08-22,email_open,Journal issue announcement
166,003XX00000vZnemR7d,2020-10-22,event_attended,Virtual Symposium on Culture & Democracy
167,003XX00000vZnemR7d,2020-02-21,email_click,Clicked event registration link
168,003XX00000vZnemR7d,2021-12-07,meeting,Introductory meeting with development director
